SPEC_ID,BPT,WHAN,HgF_g,HgF_er_g,HgF_cont_g,Hg_SDSS,Hg_er_SDSS,Hg_cont_SDSS,Hg_cont_err_SDSS,HA_g,HA_er_g,HA_cont_g,HA_SDSS,HA_er_SDSS,HA_cont_SDSS,HA_cont_err_SDSS,GALRE_i,GALREERR_i
342337920104949760,UNCX,ELR,13.161226,30.443825,77.828,3.2561426,3.9640293,17.256262,0.9106017,194.7848,25.504936,105.15187,64.367485,5.0631127,21.759466,1.9694604,5.41444,0.2839125
342362109360760832,AGNXY,sAGN,253.71645,23.627945,57.489586,79.07008,3.5331333,17.651814,1.6281426,2904.3857,33.10272,111.85114,796.1927,8.178447,32.01088,5.333577,2.4109,0.0554265
342370080820062208,NOEL,LLR,40.886166,16.56306,19.702654,5.4422655,3.0865262,5.617194,0.6331825,-36.077747,21.7096,35.68724,-3.0968063,4.787135,9.701145,0.892937,3.0348637,0.4288011
342381900570060800,NOEL,RG,10.973645,26.914375,19.876722,1.1641467,1.7376181,4.216588,0.9246893,-32.049595,27.133968,29.685501,86.60092,33.41039,6.0062623,0.933916,13.240153,3.084527
342393445442152448,SFX,wAGN,-18.987007,16.569786,45.615078,18.775143,2.1128337,13.682732,1.1650456,304.19653,14.968436,48.54899,104.58754,2.8689084,13.7356205,1.0691116,1.6933389,0.0719697
342401416901453824,AGNXY,wAGN,-19.586199,20.090378,30.028925,5.803519,2.5256894,7.507818,1.0067472,253.41429,19.060823,41.359165,65.62464,3.5464873,9.992775,1.9955345,5.2456183,0.010848
342404990314244096,UNCX,RG,15.9916525,16.32565,37.98367,5.7722807,2.4829617,12.993499,1.016622,-46.200043,16.024065,57.732,17.23826,3.9851701,18.93003,0.8728776,2.2378745,0.0590538
342406089825871872,UNCXY,sAGN,-103.95127,21.846905,65.965775,35.99331,3.017146,18.314106,1.1802268,1433.4691,26.353903,68.38226,388.5394,6.1458855,18.719025,2.361285,2.9023824,0.0337644
342412686895638528,UNCX,ELR,5.6525145,18.864876,27.925098,5.768726,2.449778,7.88388,0.9307353,121.91304,18.212574,42.886528,43.359844,3.5564048,11.340085,1.2057076,4.6817255,0.2255706
342437151029356544,NOEL,RG,47.63355,16.481802,12.204008,-0.37507176,1.9203417,5.569928,0.8871464,-10.391889,30.656366,21.254751,-2.5868263,4.4422417,9.173316,1.1198419,3.2610445,0.3825276
343408569619605504,AGNX,LLR,143.42615,28.05668,115.51706,5.6000485,3.0230005,29.072912,1.1124964,-10.868632,25.059946,191.93597,59.48173,4.256815,44.05448,1.2242754,3.2508066,0.0405783
343411593276581888,AGNXY,sAGN,47.482464,28.790318,73.917114,13.933126,3.476363,15.953143,1.2482893,871.87744,24.83061,116.16677,193.29192,4.5867662,23.340006,5.6451006,2.6825747,0.1041069
343447602282391552,SFX,ELR,-107.64193,16.602842,46.289696,0.27842763,2.5463004,13.687322,0.77456665,187.93651,18.046429,54.849876,83.40619,4.5046506,15.515553,2.3407788,3.2638242,0.1298709
343450900817274880,AGNXY,sAGN,14.361796,14.029704,25.390886,10.992269,3.1836097,9.881605,0.9646683,434.23727,13.36662,38.005585,155.53442,4.354942,14.222818,3.4494615,2.5342283,0.1312947
343455023985879040,UNCXY,sAGN,559.05194,23.309044,109.173706,297.5306,5.344108,39.737434,1.5774796,7840.82,53.991405,65.39696,2322.2751,15.797341,22.847572,4.3406067,1.516008,0.0343068
343456948131227648,AGNXY,sAGN,89.41959,20.722681,31.178013,25.2893,3.8021684,6.5892053,0.85356075,683.8956,35.21845,42.75739,193.25774,6.676652,8.815437,3.113689,9.411453,0.8681112
343458597398669312,SFX,wAGN,2.023605,15.5695915,20.817997,2.715673,2.1209733,6.7796826,0.86705166,125.46336,13.765426,28.337706,51.915073,2.6857128,8.530125,1.0026927,3.4470198,0.2455377
343459696910297088,UNCX,RG,35.945805,14.744887,9.007637,-1.309767,2.738537,3.9169986,0.843957,-29.73604,31.745895,15.63811,2.8909225,6.644963,6.514312,1.3964562,2.8671265,0.3670014
343489108846340096,AGNXY,sAGN,-48.189587,15.0825815,48.944725,17.541243,2.2350664,16.649246,0.8847027,688.26245,17.097185,61.401672,247.53857,4.637311,20.535694,1.4459572,1.9169095,0.045765
343511373956802560,AGNX,LLR,80.82494,23.983835,75.17262,0.5756135,2.6655133,18.499626,0.9299135,-3.2344537,24.0637,120.633385,37.7756,3.9646192,27.682564,1.5693705,4.3701167,0.1238706
343512748346337280,UNCX,RG,30.526674,13.819584,25.148129,-0.34633303,4.247959,8.957323,0.74625975,11.035278,11.518976,43.04356,29.924507,4.982148,14.14268,0.74012685,2.2873685,0.0679356
343520719805638656,NOEL,RG,25.825342,12.883095,21.66864,1.8523208,2.2406971,8.832771,0.7964863,-44.962753,11.783082,34.535625,6.131637,2.6997716,13.122235,0.68584234,1.392612,0.0464769
343550406619588608,AGNX,LLR,63.893887,15.234003,30.860922,4.4921703,2.2913806,9.761882,0.80331165,-18.356035,13.193933,49.713364,16.439703,2.9010155,14.297216,0.8551423,3.507599,0.228825
343555079544006656,UNCXY,SF,-23.947342,10.272113,38.577213,51.303776,2.3543563,19.773209,1.063704,1297.4816,14.6169195,41.410732,603.34686,5.831478,20.801409,1.2033836,0.8607888,0.0178992
343561676613773312,AGNXY,ELR,8.0088825,21.01596,18.542292,-5.276357,4.0552483,4.3544254,0.72345966,91.875824,23.70948,31.903397,36.811283,6.678263,7.5233006,1.0237706,9.355891,1.5434331
343562776125401088,SFXY,SF,1238.7924,27.027828,142.57228,719.5103,8.427943,61.195473,1.5426803,14381.698,103.015915,85.71775,5586.835,38.258766,36.667023,1.9778001,0.716646,0.0117972
344547389190727680,SFX,sAGN,-20.804077,13.367938,29.201376,11.720682,2.2623427,9.766583,0.82922965,485.26532,12.455541,40.014412,164.08058,3.361752,13.103067,1.2533104,2.2281454,0.0767157
344547938946541568,AGNX,LLR,16.399277,22.828245,81.93761,3.7496054,2.7001512,23.109219,1.0412157,-14.86933,17.377644,119.739784,46.380695,3.256323,31.70594,1.3300443,4.524938,0.1470582
344570478934910976,AGNX,LLR,65.68064,19.935152,46.167797,-0.36697602,2.3140616,11.939764,0.7693158,-32.76551,18.101486,84.99997,24.582283,3.2894092,19.998919,1.1140927,5.052931,0.1901112
