,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
946,UNCXY,sAGN,0.272,10.83,16.138,18.163,20.613,35.863,47.588,56.638,0.512,0.632,0.752,9.417,0.0,0.014088081,-999.0,-999.0,-999.0
947,SFX,sAGN,0.1763,10.29,18.788,21.688,23.838,34.263,44.488,55.263,-0.223,0.097,0.317,9.102,0.06862177,0.028867552,-999.0,-999.0,-999.0
948,AGNXY,sAGN,0.3184,11.17,20.738,22.788,24.188,32.838,39.113,50.863,0.907,0.982,1.082,9.492,0.07334449,0.02142172,-999.0,-999.0,-999.0
949,SFX,sAGN,0.2377,10.91,15.138,15.338,15.888,37.638,49.513,56.438,0.897,1.017,1.117,9.312,0.056194544,0.022978915,-999.0,-999.0,-999.0
950,AGNXY,ELR,0.2782,11.24,15.838,17.663,20.313,34.638,44.838,55.488,0.192,0.372,0.492,9.722,0.0,0.021637678,-999.0,-999.0,-999.0
951,UNCXY,sAGN,0.2946,10.98,22.438,24.013,24.738,34.713,44.138,54.213,-0.258,0.437,0.742,9.157,0.09487413,0.01994021,-999.0,-999.0,-999.0
952,UNCX,UNC,0.2917,10.88,15.738,17.713,20.838,34.288,45.263,55.313,0.377,0.672,0.812,9.337,0.014273203,0.023274267,-999.0,-999.0,-999.0
953,NOEL,LLR,0.1884,10.72,15.238,16.113,18.063,35.538,45.838,55.363,-0.938,-0.658,-0.398,9.597,0.0,0.028632637,-999.0,-999.0,-999.0
954,SFXY,UNC,0.2686,10.82,17.038,20.013,23.088,34.538,45.088,55.288,0.007,0.212,0.347,9.387,0.0,0.018641444,-999.0,-999.0,-999.0
955,SFX,wAGN,0.2248,10.78,16.038,18.363,21.388,34.038,44.238,54.513,0.312,0.412,0.507,9.432,0.01872286,0.01795436,-999.0,-999.0,-999.0
956,SFXY,SF,0.2374,10.46,20.563,22.763,24.338,35.613,46.488,55.713,0.707,0.822,0.917,9.117,0.02978883,0.01823958,-999.0,-999.0,-999.0
957,SFX,sAGN,0.2934,10.96,19.738,22.563,24.288,34.088,43.838,54.713,0.557,0.822,1.027,9.307,0.031409036,0.048284583,-999.0,-999.0,-999.0
958,UNCXY,sAGN,0.2375,10.67,21.038,23.138,24.463,34.063,43.538,54.588,0.602,0.727,0.862,9.132,0.07911854,0.023037208,-999.0,-999.0,-999.0
959,UNCX,NER,0.3138,11.02,15.763,17.638,20.813,35.238,46.013,55.713,-0.048,0.267,0.487,9.322,0.0,0.019487707,-999.0,-999.0,-999.0
960,UNCX,ELR,0.1438,10.33,15.588,17.138,20.138,34.063,45.013,55.138,0.137,0.282,0.407,9.357,0.022597503,0.030034732,-999.0,-999.0,-999.0
961,SFX,sAGN,0.2308,10.5,15.613,16.713,18.688,33.513,43.438,55.088,-0.643,-0.643,-0.283,8.997,0.02285505,0.020638492,-999.0,-999.0,-999.0
962,SFX,UNC,0.1482,10.25,20.338,22.638,24.213,34.288,44.438,55.088,-0.488,0.037,0.242,9.262,0.061876293,0.01807206,-999.0,-999.0,-999.0
963,AGNX,LLR,0.1674,10.72,15.338,16.563,18.863,35.413,45.388,55.188,-1.163,-0.593,-0.338,9.412,0.027242074,0.032670435,-999.0,-999.0,-999.0
964,SFX,UNC,0.1891,10.42,15.388,16.413,18.188,35.413,47.013,55.688,0.142,0.267,0.387,9.307,0.011067302,0.003559258,-999.0,-999.0,-999.0
965,NOEL,NER,0.1528,10.8,15.188,15.863,17.238,35.963,45.438,55.263,-1.353,-0.798,-0.553,9.617,0.0,0.028595435,-999.0,-999.0,-999.0
966,NOEL,NER,0.2015,11.06,15.163,15.788,16.988,35.963,46.313,55.363,-1.108,-0.813,-0.423,9.582,0.013626146,0.025162077,-999.0,-999.0,-999.0
967,NOEL,NER,0.2181,11.0,15.288,16.338,18.388,35.463,45.488,55.213,-1.503,-0.818,-0.553,9.767,0.0018800779,0.018763043,-999.0,-999.0,-999.0
968,UNCX,LLR,0.1667,10.94,16.038,18.588,22.263,35.038,45.063,55.313,-1.248,-0.743,-0.478,9.767,-999.0,-999.0,-999.0,-999.0,-999.0
969,AGNX,NER,0.3124,11.26,16.863,20.113,23.213,34.863,45.113,55.388,-0.383,0.002,0.237,9.632,0.010645639,0.026865652,-999.0,-999.0,-999.0
970,UNCXY,sAGN,0.2934,10.99,20.488,22.838,24.288,34.238,44.063,55.088,-0.508,0.087,0.482,9.007,0.02603154,0.02564285,-999.0,-999.0,-999.0
971,UNCXY,UNC,0.22,10.55,16.763,19.163,21.913,34.863,46.163,55.738,0.487,0.592,0.677,9.282,0.015982734,0.026354736,-999.0,-999.0,-999.0
