,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
428,NOEL,NER,0.2499,11.28,15.063,15.263,15.413,39.313,48.113,57.438,0.352,0.502,0.652,9.577,0.04206935,0.015035419,-999.0,-999.0,-999.0
429,NOEL,NER,0.3194,11.25,15.513,17.088,20.238,34.788,44.938,55.163,0.032,0.252,0.397,9.662,0.0,0.038176447,-999.0,-999.0,-999.0
430,NOEL,NER,0.2795,11.1,17.013,20.163,23.088,34.388,44.363,55.313,0.062,0.287,0.467,9.482,0.0,0.024392568,-999.0,-999.0,-999.0
431,NOEL,NER,0.2784,11.11,16.438,19.413,22.813,34.788,44.813,55.188,-0.808,-0.218,0.072,9.372,0.018768508,0.025962673,-999.0,-999.0,-999.0
432,SFXY,sAGN,0.1381,10.23,20.838,22.913,24.338,35.413,46.538,56.338,-0.583,0.067,0.302,8.882,0.057987683,0.02514361,0.0,0.0,0.0
433,AGNX,LLR,0.2924,11.27,16.088,18.388,21.713,34.088,44.088,54.838,0.567,0.707,0.812,9.587,-999.0,-999.0,-999.0,-999.0,-999.0
434,AGNXY,UNC,0.2678,11.35,16.788,19.688,24.063,56.588,58.888,59.663,1.777,1.782,1.782,9.652,0.0048596975,0.015908957,-999.0,-999.0,-999.0
435,UNCX,LLR,0.0516,10.71,16.663,19.438,22.313,36.213,48.938,57.088,-0.763,-0.633,-0.543,9.727,0.027169531,0.031132055,-999.0,-999.0,-999.0
436,SFX,ELR,0.2423,11.17,16.213,17.913,19.888,35.088,45.663,55.813,-0.243,0.017,0.162,9.397,0.0,0.01582003,-999.0,-999.0,-999.0
437,UNCX,ELR,0.0582,10.84,19.538,20.988,22.463,34.788,45.713,54.863,0.067,0.152,0.187,9.567,0.24954842,0.040079664,-999.0,-999.0,-999.0
438,UNCX,NER,0.079,11.01,16.488,18.613,21.538,34.888,45.013,54.938,-0.963,-0.763,-0.573,9.757,0.0,0.04419425,-999.0,-999.0,-999.0
439,UNCX,ELR,0.1508,11.0,15.238,15.988,17.238,35.838,46.588,55.713,-0.853,-0.363,-0.043,9.712,0.022210885,0.025013689,-999.0,-999.0,-999.0
440,NOEL,NER,0.2685,11.13,15.763,17.338,19.138,34.463,45.063,53.813,1.137,1.197,1.252,9.272,0.046515472,0.0148937395,-999.0,-999.0,-999.0
441,AGNX,NER,0.0783,10.9,15.138,15.663,16.913,34.463,47.088,55.913,-0.283,-0.223,-0.183,9.682,0.0,0.035548385,-999.0,-999.0,-999.0
442,AGNX,LLR,0.077,10.7,16.538,18.488,21.013,34.813,44.638,54.013,-0.448,-0.343,-0.273,9.712,0.030308718,0.026023692,-999.0,-999.0,-999.0
443,SFX,wAGN,0.131,10.8,17.488,19.338,21.413,33.563,43.388,53.988,0.022,0.117,0.177,9.582,0.030614486,0.014066237,-999.0,-999.0,-999.0
444,UNCX,NER,0.1335,10.75,15.688,17.738,21.363,35.238,45.938,55.363,0.182,0.282,0.362,9.557,0.0,0.029615264,-999.0,-999.0,-999.0
445,SFX,ELR,0.0398,10.8,17.488,18.513,19.813,35.663,48.738,57.638,-1.208,-0.963,-0.838,9.827,0.08274419,0.034251716,-999.0,-999.0,-999.0
446,SFX,ELR,0.067,10.35,16.138,18.213,20.863,33.738,43.363,54.263,-0.163,-0.118,-0.053,9.577,0.06759804,0.029856304,-999.0,-999.0,-999.0
447,AGNXY,ELR,0.0688,11.12,19.388,22.113,24.213,34.313,42.888,52.938,-0.293,-0.253,-0.158,9.717,0.12679487,0.049586162,-999.0,-999.0,-999.0
448,AGNX,LLR,0.0421,10.7,16.063,18.113,20.838,34.213,44.313,54.713,-1.228,-1.068,-0.943,9.757,0.0,0.05231318,-999.0,-999.0,-999.0
449,UNCXY,sAGN,0.0718,10.51,24.613,24.713,24.713,50.013,59.488,59.488,1.107,1.112,1.112,8.827,0.99486727,0.017958974,-999.0,-999.0,-999.0
450,UNCXY,sAGN,0.1062,10.47,23.588,24.538,24.838,36.613,48.888,56.413,0.087,0.197,0.307,9.357,0.10106812,0.02051299,-999.0,-999.0,-999.0
451,AGNXY,sAGN,0.1079,10.78,22.288,23.738,24.563,55.663,57.463,59.138,-0.043,0.067,0.072,9.402,0.0127709815,0.021810323,-999.0,-999.0,-999.0
452,AGNX,LLR,0.0531,10.78,15.463,16.488,17.938,36.863,47.063,54.263,0.077,0.107,0.147,9.617,0.09791579,0.04210769,-999.0,-999.0,-999.0
453,NOEL,LLR,0.1577,11.35,15.213,16.038,17.788,35.438,45.238,54.813,-0.948,-0.613,-0.348,9.802,0.0,0.04594727,-999.0,-999.0,-999.0
454,AGNXY,sAGN,0.0525,10.64,20.838,22.213,23.838,55.463,58.238,59.363,0.392,0.412,0.452,9.612,0.15295994,0.03260817,-999.0,-999.0,-999.0
455,SFX,wAGN,0.1673,11.2,16.338,18.113,20.013,34.863,46.963,56.163,0.327,0.542,0.697,9.457,0.046004504,0.03664439,-999.0,-999.0,-999.0
456,UNCXY,sAGN,0.1088,10.52,22.438,23.963,24.763,38.113,50.938,56.563,0.247,0.342,0.427,9.417,0.11213435,0.021370003,-999.0,-999.0,-999.0
457,UNCXY,SF,0.0515,9.752,17.513,18.938,20.113,33.913,48.563,55.263,0.072,0.137,0.212,9.117,0.12473956,0.022366488,-999.0,-999.0,-999.0
458,NOEL,LLR,0.1907,11.32,18.638,21.913,24.013,34.488,44.663,55.138,-0.978,-0.613,-0.313,9.677,0.047353018,0.015239754,-999.0,-999.0,-999.0
459,NOEL,LLR,0.1933,11.13,15.238,15.913,17.063,36.438,46.013,54.613,-1.033,-0.753,-0.618,9.822,0.01122188,0.01910596,-999.0,-999.0,-999.0
460,SFX,wAGN,0.0866,10.79,18.588,19.513,20.738,34.788,46.488,56.288,0.237,0.242,0.267,9.432,0.14169817,0.027017422,-999.0,-999.0,-999.0
461,AGNX,ELR,0.0288,10.83,16.538,17.863,19.363,34.013,41.038,49.088,-0.048,0.072,0.127,9.632,0.39447886,0.21692298,-999.0,-999.0,-999.0
462,AGNX,LLR,0.0426,10.76,17.388,18.713,19.638,32.013,38.313,45.838,0.452,0.497,0.527,9.397,0.7315692,0.07387825,-999.0,-999.0,-999.0
463,UNCXY,sAGN,0.1056,10.53,18.838,20.588,22.213,42.263,53.138,58.488,0.337,0.552,0.557,9.167,0.10780783,0.022889884,-999.0,-999.0,-999.0
464,AGNX,LLR,0.1075,11.09,17.813,20.838,23.563,34.663,45.288,55.613,-1.888,-1.483,-1.243,9.882,0.0038816084,0.025186159,-999.0,-999.0,-999.0
465,UNCX,wAGN,0.0579,10.45,23.013,24.238,24.713,35.438,46.613,57.213,-2.048,-1.278,-0.938,9.442,0.13861506,0.021855466,-999.0,-999.0,-999.0
466,SFX,UNC,0.1294,10.73,16.188,18.363,20.938,34.288,44.763,54.363,0.222,0.297,0.392,9.457,0.029925656,0.025126554,-999.0,-999.0,-999.0
467,UNCX,LLR,0.0718,10.67,15.288,16.238,18.238,35.588,46.488,56.113,-1.748,-1.188,-0.933,9.782,0.0,0.017128842,-999.0,-999.0,-999.0
468,NOEL,NER,0.1066,10.74,15.863,18.038,20.988,33.738,43.163,53.713,-0.173,-0.013,0.092,9.632,0.035333317,0.018842354,-999.0,-999.0,-999.0
469,UNCX,NER,0.1661,11.07,17.113,20.713,23.638,34.538,45.138,55.388,-1.208,-0.833,-0.553,9.747,0.030726777,0.017289862,-999.0,-999.0,-999.0
470,UNCX,LLR,0.0527,10.96,16.163,17.413,19.038,34.588,47.363,56.038,-0.483,-0.418,-0.378,9.797,0.11689191,0.03537659,-999.0,-999.0,-999.0
471,UNCX,NER,0.1094,10.7,15.713,17.488,19.938,34.988,44.088,52.513,0.477,0.587,0.662,9.342,0.07263397,0.024622891,-999.0,-999.0,-999.0
472,UNCX,NER,0.1091,10.59,15.113,15.313,15.813,35.438,45.313,54.288,-1.623,-1.138,-0.818,9.742,0.042906646,0.019553874,-999.0,-999.0,-999.0
473,NOEL,NER,0.2748,11.37,18.013,20.613,22.863,34.113,43.663,54.538,-0.113,0.377,0.622,9.607,0.03436124,0.012880597,-999.0,-999.0,-999.0
474,UNCX,NER,0.1962,11.25,17.663,21.163,23.638,35.388,45.488,55.613,-0.698,-0.458,-0.278,9.692,0.03216996,0.021587087,-999.0,-999.0,-999.0
475,SFX,UNC,0.1969,11.12,15.163,15.438,16.313,36.488,47.513,55.538,0.282,0.407,0.552,9.597,0.04021906,0.034838255,-999.0,-999.0,-999.0
476,AGNXY,wAGN,0.0582,10.72,17.838,18.938,20.113,41.138,52.513,57.763,0.132,0.237,0.292,9.577,0.15673429,0.029998004,-999.0,-999.0,-999.0
477,SFX,wAGN,0.1054,10.64,16.363,18.338,20.438,34.838,44.913,55.613,-1.093,-0.783,-0.498,9.612,0.046324372,0.0123532405,-999.0,-999.0,-999.0
478,SFX,sAGN,0.1065,10.61,16.738,19.188,21.888,34.838,45.788,55.163,-0.418,-0.298,-0.228,9.662,0.0058472613,0.020539658,-999.0,-999.0,-999.0
479,SFX,wAGN,0.0581,10.95,20.538,21.888,23.238,34.813,44.963,55.988,-0.868,-0.713,-0.543,9.812,0.1541208,0.030756453,-999.0,-999.0,-999.0
480,AGNXY,sAGN,0.1068,11.06,18.663,19.563,20.213,58.313,59.713,59.938,1.322,1.327,1.372,9.237,0.3471255,0.034279477,-999.0,-999.0,-999.0
481,UNCXY,sAGN,0.2821,10.6,15.413,15.813,16.438,58.088,59.038,59.413,1.827,1.827,2.032,8.652,0.010103776,0.01332548,-999.0,-999.0,-999.0
482,AGNXY,ELR,0.2185,11.11,15.563,16.813,18.888,35.288,46.763,56.063,0.092,0.267,0.397,9.402,0.037840556,0.024484226,-999.0,-999.0,-999.0
483,UNCX,ELR,0.164,10.76,20.888,23.038,24.388,33.238,41.663,54.288,-0.008,0.257,0.327,9.182,0.081253216,0.019452581,-999.0,-999.0,-999.0
484,NOEL,LLR,0.3144,11.33,17.338,20.363,23.288,34.663,45.013,55.188,-0.588,-0.128,0.192,9.682,0.0,0.021553839,-999.0,-999.0,-999.0
485,UNCXY,sAGN,0.2824,10.87,15.238,16.013,17.663,34.388,46.638,55.513,0.832,0.952,1.037,9.247,0.008660155,0.024304066,-999.0,-999.0,-999.0
486,UNCX,LLR,0.0483,10.8,15.538,16.838,18.963,34.313,43.913,53.488,-0.278,-0.238,-0.208,9.762,0.024743874,0.06716015,-999.0,-999.0,-999.0
487,UNCXY,sAGN,0.2219,10.53,18.463,20.838,23.088,32.813,39.288,51.763,0.997,1.067,1.147,9.037,0.010725846,0.053052098,-999.0,-999.0,-999.0
488,SFXY,SF,0.0419,9.387,19.688,22.088,23.963,33.838,47.513,57.488,-0.563,-0.478,-0.388,9.307,0.06931564,0.016537502,-999.0,-999.0,-999.0
489,UNCX,ELR,0.1952,11.17,16.763,20.088,23.138,34.313,44.613,55.163,-1.048,-0.648,-0.393,9.692,0.01965903,0.016774707,-999.0,-999.0,-999.0
490,AGNXY,sAGN,0.1963,10.92,21.763,23.363,24.238,42.713,48.213,59.538,1.622,1.707,1.712,9.272,0.20958354,0.01299521,-999.0,-999.0,-999.0
491,UNCX,LLR,0.0951,10.6,15.263,16.263,18.163,35.413,45.288,55.013,-1.798,-1.328,-1.073,9.697,0.040951356,0.025607178,-999.0,-999.0,-999.0
492,SFX,UNC,0.2272,11.21,15.338,16.413,18.213,35.538,45.638,55.463,-0.553,-0.223,-0.033,9.717,0.010657662,0.015529915,-999.0,-999.0,-999.0
493,SFXY,sAGN,0.1463,10.79,21.963,23.488,24.538,36.038,46.663,55.138,0.617,0.687,0.742,9.387,0.10621195,0.0153991645,-999.0,-999.0,-999.0
494,AGNX,LLR,0.1704,10.95,16.088,18.688,22.238,34.063,44.588,55.013,0.157,0.262,0.347,9.602,0.031143483,0.020852316,-999.0,-999.0,-999.0
495,AGNXY,sAGN,0.1626,10.93,16.238,18.463,21.388,44.963,53.813,58.238,0.787,0.842,0.912,9.392,0.012248762,0.024681387,-999.0,-999.0,-999.0
496,AGNXY,sAGN,0.1629,10.98,21.763,23.488,24.588,36.238,48.438,57.388,0.347,0.427,0.507,9.337,0.08361796,0.025652774,-999.0,-999.0,-999.0
497,UNCXY,sAGN,0.0538,10.19,15.888,17.913,20.488,33.513,40.113,48.213,-0.163,-0.133,-0.073,9.467,0.118725955,0.030073898,-999.0,-999.0,-999.0
498,NOEL,LLR,0.1375,10.71,15.063,15.263,15.463,38.213,47.188,54.563,-1.923,-0.988,-0.653,9.512,0.035595793,0.016833482,-999.0,-999.0,-999.0
499,AGNXY,sAGN,0.1642,11.07,18.063,20.888,23.363,36.013,47.038,56.038,-1.003,-0.318,0.042,9.417,0.0076054707,0.029136222,-999.0,-999.0,-999.0
500,NOEL,NER,0.2899,11.35,20.013,21.763,23.488,34.238,43.088,54.138,-0.978,-0.263,0.212,9.402,0.04265749,0.019448847,-999.0,-999.0,-999.0
501,SFXY,SF,0.2439,9.802,15.588,16.988,18.963,36.813,54.088,58.213,1.322,1.422,1.532,8.112,0.041653104,0.016556375,-999.0,-999.0,-999.0
502,UNCX,ELR,0.1211,10.85,17.413,20.238,23.213,35.138,45.513,55.263,-0.183,-0.068,0.012,9.532,0.0,0.030557506,-999.0,-999.0,-999.0
503,UNCX,NER,0.1035,11.06,16.713,17.838,18.863,32.888,43.263,53.188,0.607,0.672,0.727,9.472,0.14007418,0.039090343,-999.0,-999.0,-999.0
504,AGNX,LLR,0.0935,11.12,15.613,16.963,19.163,35.013,44.638,54.763,-0.738,-0.573,-0.498,9.777,0.043848254,0.028561452,-999.0,-999.0,-999.0
505,UNCX,LLR,0.1873,11.16,15.638,18.138,22.338,34.488,45.013,55.663,-1.003,-0.743,-0.423,9.582,0.028592369,0.02233609,-999.0,-999.0,-999.0
506,SFXY,SF,0.184,9.772,16.213,19.163,22.363,47.588,55.538,58.738,1.052,1.137,1.162,8.272,0.04536662,0.01645748,-999.0,-999.0,-999.0
507,UNCXY,sAGN,0.0996,10.66,20.138,21.463,22.638,37.713,50.663,56.938,0.427,0.532,0.592,9.357,0.14724284,0.028811265,-999.0,-999.0,-999.0
508,UNCX,LLR,0.0561,10.58,15.238,16.088,18.063,35.513,46.063,55.763,-1.578,-1.268,-1.058,9.767,0.0,0.03813961,-999.0,-999.0,-999.0
509,AGNX,LLR,0.0554,10.78,16.313,18.913,22.113,34.363,44.863,55.338,-2.018,-1.138,-0.878,9.867,-999.0,-999.0,-999.0,-999.0,-999.0
510,SFX,wAGN,0.0771,10.57,15.613,17.188,19.813,34.538,46.863,56.313,-0.293,-0.268,-0.068,9.722,0.03294736,0.021469075,-999.0,-999.0,-999.0
511,NOEL,NER,0.2906,11.49,16.588,19.788,23.188,34.388,44.438,55.038,-0.078,0.482,0.872,9.592,-999.0,-999.0,-999.0,-999.0,-999.0
512,AGNXY,wAGN,0.0554,10.98,20.788,21.838,22.863,37.088,50.588,56.463,0.187,0.372,0.442,9.572,0.37139076,0.045943175,-999.0,-999.0,-999.0
513,UNCX,ELR,0.168,11.2,15.763,17.463,19.713,34.788,45.938,55.463,-0.043,0.282,0.467,9.627,0.043478914,0.024899377,-999.0,-999.0,-999.0
514,AGNXY,sAGN,0.1858,10.95,22.013,23.663,24.638,35.488,45.663,56.213,0.317,0.537,0.702,9.332,0.080349304,0.015340035,-999.0,-999.0,-999.0
515,AGNX,LLR,0.0576,10.35,16.313,18.838,22.213,35.013,45.288,55.538,-1.738,-1.598,-1.298,9.637,0.0,0.02698776,-999.0,-999.0,-999.0
516,AGNX,LLR,0.0539,10.84,15.888,17.113,18.313,33.413,40.488,48.463,-0.573,0.437,0.572,9.447,0.20863402,0.0697875,-999.0,-999.0,-999.0
517,SFX,sAGN,0.0702,10.5,18.963,22.338,24.263,34.188,44.138,54.038,-0.288,-0.143,-0.063,9.552,0.041019585,0.029576413,-999.0,-999.0,-999.0
518,AGNX,LLR,0.0702,10.89,15.363,16.313,17.913,36.263,49.313,57.138,-0.678,-0.518,-0.428,9.757,0.0,0.024839222,-999.0,-999.0,-999.0
519,UNCX,wAGN,0.2553,11.44,16.613,19.513,22.638,34.288,44.363,55.163,-0.123,0.052,0.267,9.677,0.0,0.015858723,-999.0,-999.0,-999.0
520,NOEL,NER,0.2263,11.47,16.613,19.863,23.138,34.513,44.738,55.313,-0.248,-0.058,0.172,9.757,0.03262791,0.029553981,-999.0,-999.0,-999.0
521,AGNXY,sAGN,0.1468,10.65,18.438,21.163,23.488,34.463,45.863,56.113,0.217,0.297,0.362,9.472,0.018196685,0.01691247,-999.0,-999.0,-999.0
522,SFX,UNC,0.1433,11.82,17.838,18.588,19.388,35.063,46.213,56.313,-0.618,-0.613,-0.613,9.592,0.050063226,0.013719095,-999.0,-999.0,-999.0
523,UNCXY,UNC,0.0936,9.937,21.763,23.688,24.638,34.713,43.863,52.838,-0.058,0.067,0.177,9.172,0.07573109,0.018262234,-999.0,-999.0,-999.0
524,NOEL,LLR,0.1648,11.39,19.738,22.688,24.363,35.538,45.288,55.263,-0.933,-0.603,-0.403,9.772,0.088679105,0.02895578,-999.0,-999.0,-999.0
525,SFXY,SF,0.3077,10.31,19.963,22.363,24.063,52.263,56.913,59.038,1.602,1.607,1.607,8.597,0.0,0.021714251,-999.0,-999.0,-999.0
526,AGNXY,sAGN,0.1434,10.91,17.563,20.763,23.513,35.563,46.463,55.988,-0.183,-0.053,0.052,9.642,0.029783884,0.022922799,-999.0,-999.0,-999.0
527,UNCX,ELR,0.1869,11.31,15.913,18.138,21.038,34.238,44.563,55.163,-0.183,-0.013,0.082,9.732,0.03807122,0.01893222,-999.0,-999.0,-999.0
528,UNCXY,sAGN,0.0382,10.41,17.113,18.563,20.188,48.113,54.663,58.688,0.327,0.382,0.402,9.357,0.3530212,0.058269326,-999.0,-999.0,-999.0
529,NOEL,LLR,0.1415,10.96,15.538,16.863,18.913,35.088,45.338,55.713,-0.818,-0.523,-0.293,9.767,0.02358927,0.018615399,-999.0,-999.0,-999.0
530,AGNXY,sAGN,0.2622,11.2,18.138,21.463,23.963,35.663,46.313,55.538,0.537,0.767,0.942,9.487,0.04026164,0.04095071,-999.0,-999.0,-999.0
531,UNCX,wAGN,0.1405,10.9,17.588,20.788,23.613,36.563,47.613,56.313,0.037,0.132,0.222,9.627,0.012796086,0.019268716,-999.0,-999.0,-999.0
532,NOEL,NER,0.2024,11.24,15.138,15.463,16.438,36.338,45.438,54.688,-1.148,-0.703,-0.343,9.717,0.013949776,0.022777861,-999.0,-999.0,-999.0
533,AGNXY,NER,0.0176,10.32,18.088,19.738,22.263,35.588,46.788,55.988,-1.908,-1.703,-1.698,9.762,0.06735877,0.061450943,-999.0,-999.0,-999.0
534,UNCX,LLR,0.1368,11.17,16.413,19.463,22.788,34.913,44.463,54.638,-1.678,-1.223,-0.953,9.757,0.058432236,0.027022999,-999.0,-999.0,-999.0
535,SFX,wAGN,0.2111,11.42,16.013,17.863,19.588,33.163,42.363,54.088,0.672,0.797,0.857,9.652,0.017826743,0.025990227,-999.0,-999.0,-999.0
536,UNCX,ELR,0.1021,10.54,16.838,20.588,23.738,34.788,45.438,55.263,-0.383,-0.268,-0.193,9.552,0.039745484,0.023205664,-999.0,-999.0,-999.0
537,SFX,wAGN,0.2103,10.82,15.463,16.763,19.263,34.763,44.813,54.738,-0.503,0.227,0.427,9.182,0.030789278,0.021823969,-999.0,-999.0,-999.0
538,AGNXY,wAGN,0.087,10.95,16.163,17.938,19.163,34.763,53.363,58.688,0.472,0.512,0.592,9.512,0.19933473,0.025721185,-999.0,-999.0,-999.0
539,NOEL,NER,0.2825,11.44,16.438,19.388,22.213,34.463,44.238,54.563,-0.668,-0.538,-0.368,9.517,0.0135078505,0.019100664,-999.0,-999.0,-999.0
540,AGNX,LLR,0.1427,10.86,16.363,19.138,22.488,34.713,45.063,55.388,-0.688,-0.528,-0.388,9.697,0.006382431,0.02433747,-999.0,-999.0,-999.0
541,SFX,sAGN,0.2659,11.13,20.613,22.713,24.263,36.938,47.513,56.413,1.342,1.417,1.487,9.177,0.11418629,0.024340112,-999.0,-999.0,-999.0
542,UNCX,LLR,0.1329,10.64,15.213,16.063,17.588,35.738,45.888,55.013,-1.863,-1.273,-0.858,9.682,0.0,0.015352762,-999.0,-999.0,-999.0
543,AGNXY,sAGN,0.0185,10.33,24.713,24.813,24.813,55.688,57.788,57.788,-0.168,-0.168,-0.163,9.807,1.160469,0.07349558,-999.0,-999.0,-999.0
544,SFX,wAGN,0.1108,11.04,19.238,22.063,24.113,34.763,45.613,54.938,0.677,0.762,0.852,9.537,-999.0,-999.0,-999.0,-999.0,-999.0
545,UNCX,ELR,0.1674,10.96,16.613,19.338,22.463,33.763,43.163,54.213,0.927,0.967,1.052,9.307,0.08683605,0.036316022,-999.0,-999.0,-999.0
546,AGNXY,ELR,0.0549,10.3,15.388,16.363,18.213,35.488,48.488,56.738,-0.548,-0.508,-0.438,9.602,0.025866162,0.03566965,-999.0,-999.0,-999.0
547,AGNXY,sAGN,0.2058,11.2,24.513,24.713,24.963,37.863,44.238,59.463,1.142,1.242,1.357,9.322,0.3440901,0.023545356,-999.0,-999.0,-999.0
548,UNCX,NER,0.2601,11.38,15.088,15.313,16.013,36.863,47.538,56.013,-0.688,-0.143,0.242,9.582,0.04297714,0.02906765,-999.0,-999.0,-999.0
549,UNCXY,sAGN,0.0695,10.66,16.513,18.538,20.688,33.938,42.363,52.688,0.022,0.202,0.242,9.712,0.0894976,0.02342637,-999.0,-999.0,-999.0
550,AGNXY,ELR,0.0876,10.25,15.413,16.788,19.688,34.663,45.838,55.563,-0.643,-0.278,-0.113,9.497,0.051573336,0.025001507,-999.0,-999.0,-999.0
551,AGNXY,sAGN,0.3093,11.15,16.838,20.088,23.138,34.613,44.838,55.313,-0.258,0.107,0.312,9.487,0.006330133,0.014967017,-999.0,-999.0,-999.0
552,AGNX,LLR,0.1342,11.03,15.563,16.938,19.313,34.538,44.213,54.638,-0.308,-0.123,-0.008,9.772,0.041812498,0.026571685,-999.0,-999.0,-999.0
553,AGNXY,sAGN,0.0785,10.77,22.488,22.738,23.438,57.338,59.088,59.888,0.602,0.602,0.607,9.242,0.474476,0.032992713,-999.0,-999.0,-999.0
554,SFX,sAGN,0.0786,10.65,17.188,18.388,19.388,37.138,47.938,55.288,0.187,0.262,0.302,9.352,0.106040075,0.03143116,-999.0,-999.0,-999.0
555,UNCXY,UNC,0.0847,10.86,20.488,22.363,23.913,34.813,46.163,56.163,-0.253,-0.138,-0.048,9.657,0.094331145,0.022679072,-999.0,-999.0,-999.0
556,AGNXY,ELR,0.1106,11.06,15.363,16.438,18.438,35.338,45.488,55.488,-0.833,-0.588,-0.423,9.732,0.043171782,0.030558867,-999.0,-999.0,-999.0
557,UNCX,LLR,0.1049,11.09,16.063,18.263,21.688,35.538,45.288,55.313,-1.838,-1.558,-1.098,9.782,0.023788,0.023648007,-999.0,-999.0,-999.0
558,UNCX,LLR,0.0132,9.992,15.713,17.913,21.838,35.038,44.663,54.638,-2.863,-2.298,-2.043,9.712,0.0,0.12905805,-999.0,-999.0,-999.0
559,AGNX,LLR,0.1042,11.1,18.488,21.313,23.488,33.813,43.238,53.438,-0.073,0.037,0.077,9.747,0.09449674,0.027045203,-999.0,-999.0,-999.0
560,SFX,wAGN,0.0759,10.51,15.938,17.388,19.188,37.013,48.738,56.763,-0.413,-0.243,-0.123,9.422,0.042920135,0.033451453,-999.0,-999.0,-999.0
561,UNCX,NER,0.1117,10.72,15.313,16.163,17.588,34.763,45.488,54.413,0.157,0.192,0.222,9.682,0.026765887,0.035589024,-999.0,-999.0,-999.0
562,AGNX,LLR,0.0765,11.0,16.963,19.413,22.688,33.938,44.763,55.263,-0.868,-0.573,-0.503,9.877,0.05118857,0.028296366,-999.0,-999.0,-999.0
563,AGNX,LLR,0.0745,11.0,15.888,17.613,22.688,34.488,43.338,53.263,-0.983,-0.778,-0.703,9.892,-999.0,-999.0,-999.0,-999.0,-999.0
564,AGNX,LLR,0.0752,10.42,15.763,17.713,20.513,33.538,42.038,51.888,0.027,0.102,0.162,9.402,-999.0,-999.0,-999.0,-999.0,-999.0
565,NOEL,LLR,0.1327,10.91,16.013,18.138,21.213,34.713,45.438,55.713,-0.613,-0.413,-0.238,9.742,0.005208059,0.01888092,-999.0,-999.0,-999.0
566,UNCXY,sAGN,0.0752,10.33,16.513,19.313,22.388,37.088,50.663,57.688,0.112,0.212,0.277,9.432,-999.0,-999.0,-999.0,-999.0,-999.0
567,UNCX,ELR,0.0896,10.78,16.613,19.763,22.563,34.088,44.113,55.138,-0.503,-0.368,-0.263,9.737,0.08057672,0.026294164,-999.0,-999.0,-999.0
568,UNCX,ELR,0.0675,11.09,20.063,22.613,24.238,34.988,45.088,55.288,-0.888,-0.798,-0.618,9.887,-999.0,-999.0,-999.0,-999.0,-999.0
569,SFX,sAGN,0.1343,10.52,16.163,18.713,22.263,33.738,42.288,52.388,0.002,0.122,0.242,9.467,-999.0,-999.0,-999.0,-999.0,-999.0
570,NOEL,NER,0.158,10.99,16.538,19.263,22.513,33.938,43.838,54.538,-0.488,-0.033,0.197,9.682,0.02247775,0.02703375,-999.0,-999.0,-999.0
571,NOEL,LLR,0.133,10.93,15.188,15.888,17.488,35.838,45.888,55.013,-1.263,-0.753,-0.583,9.647,-999.0,-999.0,-999.0,-999.0,-999.0
572,AGNXY,sAGN,0.0224,10.2,21.038,22.438,24.063,45.713,53.788,57.513,-0.558,-0.553,-0.548,9.492,0.28979146,0.04775131,-999.0,-999.0,-999.0
573,AGNX,LLR,0.1237,10.79,16.763,19.813,23.138,33.988,42.688,52.213,0.107,0.237,0.322,9.552,0.020080492,0.028985905,-999.0,-999.0,-999.0
574,UNCXY,sAGN,0.0771,10.39,19.513,21.288,21.788,57.938,59.713,59.938,0.917,0.917,0.917,9.327,0.28208038,0.02169265,-999.0,-999.0,-999.0
575,SFXY,SF,0.0197,8.567,16.788,19.938,23.188,36.663,48.238,55.788,-1.073,-0.968,-0.908,9.087,0.0599856,0.040482085,-999.0,-999.0,-999.0
576,NOEL,LLR,0.1231,10.86,15.113,15.313,15.738,35.438,45.313,53.538,-1.573,-1.208,-0.813,9.792,0.009893967,0.01820883,-999.0,-999.0,-999.0
577,UNCX,LLR,0.1127,10.91,16.113,18.338,21.388,34.713,45.288,55.713,-1.663,-1.193,-0.903,9.762,0.017275548,0.017995963,-999.0,-999.0,-999.0
578,SFXY,SF,0.1841,9.757,15.638,18.113,20.738,46.588,56.963,59.488,1.262,1.372,1.392,8.087,0.09853853,0.015185706,-999.0,-999.0,-999.0
579,NOEL,LLR,0.2012,11.04,15.288,16.388,18.938,35.038,44.738,54.838,-0.353,-0.128,-0.033,9.527,0.043330025,0.017132064,-999.0,-999.0,-999.0
580,AGNXY,sAGN,0.2389,10.94,21.288,23.038,24.388,37.338,50.713,57.613,1.217,1.287,1.327,8.937,-999.0,-999.0,-999.0,-999.0,-999.0
581,SFX,sAGN,0.0981,10.27,16.738,18.688,21.638,34.913,46.238,55.738,-0.143,-0.008,0.147,9.077,-999.0,-999.0,-999.0,-999.0,-999.0
582,UNCXY,sAGN,0.079,10.66,22.538,22.538,22.538,59.013,59.013,59.013,0.692,0.692,0.712,9.432,0.30475846,0.02603617,-999.0,-999.0,-999.0
583,AGNXY,sAGN,0.2671,11.2,18.788,21.488,23.713,42.013,51.963,57.888,1.007,1.042,1.072,9.267,0.0,0.02937803,-999.0,-999.0,-999.0
