SPECID,CATAID_1,Z_x,BPT,WHAN,RA,DEC,Z_y,URL,URL_IMG,DIST,IS_SBEST,IS_BEST
317659382441601024,21859,0.110960506,NOEL,LLR,174.45777,1.19665,0.11103,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0566.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0566.png,0.01,True,True
317673950970669056,6881,0.106080815,AGNX,LLR,174.63339,0.82139,0.10586,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/293590.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/293590.png,1.16,True,False
317673950970669056,6881,0.106080815,AGNX,LLR,174.63313,0.82153,0.10623,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0606.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0606.png,0.13,False,False
317673950970669056,6881,0.106080815,AGNX,LLR,174.63313,0.82153,0.10615,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0619.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0619.png,0.13,True,True
317678349017180160,609331,0.10671078,AGNXY,wAGN,175.15934,0.33521,0.10662,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/293162.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/293162.png,0.47,True,False
317678349017180160,609331,0.10671078,AGNXY,wAGN,175.15946,0.33529,0.10678,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51658-0635.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51658-0635.png,0.05,True,True
317678349017180160,609331,0.10671078,AGNXY,wAGN,175.15946,0.33529,0.10692,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0282-51630-0640.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0282-51630-0640.png,0.05,False,False
317678349017180160,609331,0.10671078,AGNXY,wAGN,175.15942,0.33528,0.10681,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G12_Y1_AT_323.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G12_Y1_AT_323.png,0.11,True,False
318640426741426176,54263,0.082978114,UNCX,ELR,177.3377,-0.38465,0.0832,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/291161.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/291161.png,0.63,True,False
318640426741426176,54263,0.082978114,UNCX,ELR,177.33785,-0.38458,0.08285,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51660-0023.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51660-0023.png,0.04,False,False
318640426741426176,54263,0.082978114,UNCX,ELR,177.33785,-0.38458,0.08288,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51584-0028.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51584-0028.png,0.04,False,False
318640426741426176,54263,0.082978114,UNCX,ELR,177.33785,-0.38458,0.08293,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51959-0039.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51959-0039.png,0.04,True,True
318641526253053952,30748,0.15677139,UNCX,ELR,176.66641,-1.14961,0.15679,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51660-0043.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51660-0043.png,0.08,False,False
318641526253053952,30748,0.15677139,UNCX,ELR,176.66641,-1.14961,0.15672,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51959-0043.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51959-0043.png,0.08,True,True
318641526253053952,30748,0.15677139,UNCX,ELR,176.66641,-1.14961,0.15682,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51584-0048.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51584-0048.png,0.08,False,False
318646748933285888,39425,0.12119982,AGNXY,sAGN,177.01165,-0.68465,0.12141,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/291509.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/291509.png,0.62,True,False
318646748933285888,39425,0.12119982,AGNXY,sAGN,177.01176,-0.68449,0.12115,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51959-0062.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51959-0062.png,0.1,True,True
318646748933285888,39425,0.12119982,AGNXY,sAGN,177.01176,-0.68449,0.12106,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51584-0063.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51584-0063.png,0.1,False,False
318646748933285888,39425,0.12119982,AGNXY,sAGN,177.01176,-0.68449,0.12115,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51660-0069.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51660-0069.png,0.1,False,False
318650047468169216,39474,0.07817791,UNCX,ELR,177.10337,-0.81437,0.07775,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/291420.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/291420.png,1.16,True,False
318650047468169216,39474,0.07817791,UNCX,ELR,177.10337,-0.81437,0.07816,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/291420_2.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/291420_2.png,1.16,False,False
318650047468169216,39474,0.07817791,UNCX,ELR,177.10339,-0.81403,0.07813,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0283-51660-0062.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0283-51660-0062.png,0.06,False,False
