SPECID_x,CATAID_1,SURVEY_x,Z,BPT,WHAN,OIIIR_FLUX_ERR,OIIIR_FLUX,SN_OIII
5397593385203138560,380617,SDSS,0.10479336,UNCX,LLR,16.959177,-70.967896,-4.184630893350544
5397595034470580224,380578,SDSS,0.01309055,UNCX,LLR,40.273815,-433.0276,-10.752087926112786
5397612626656624640,345337,SDSS,0.104103416,AGNX,LLR,16.8622,-52.359737,-3.105154546856282
577610874835986432,271455,SDSS,0.076458484,AGNX,LLR,19.47542,-83.85972,-4.305926136637875
577624893609240576,271385,SDSS,0.0744685,AGNX,LLR,21.961063,-82.35635,-3.7501076336787524
578783778948802560,396919,SDSS,0.13267246,NOEL,LLR,16.582874,-39.02488,-2.353324279012191
579908855178225664,397367,SDSS,0.13295184,NOEL,LLR,17.978601,-77.17325,-4.292505851817947
582116124318001152,220543,SDSS,0.12362978,AGNX,LLR,19.423388,-62.750343,-3.2306589869903233
582148010155206656,220468,SDSS,0.12305981,NOEL,LLR,17.534136,-63.318653,-3.611164701813651
583239554652203008,221055,SDSS,0.2012868,NOEL,LLR,11.900402,-35.79781,-3.0081177089647895
598979608511014912,227264,SDSS,0.024951933,SFGX,wAGN,65.62264,-205.27205,-3.12806753888597
598980158266828800,227266,SDSS,0.024981933,AGNX,LLR,108.92674,-532.1214,-4.885131052301758
599006546545895424,318791,SDSS,0.16484766,UNCX,LLR,27.850895,-79.11963,-2.840828993107762
599152506714482688,261017,SDSS,0.18718857,NOEL,NER,16.759182,-44.65796,-2.6646861404094784
600126948911376384,296908,SDSS,0.2963449,NOEL,LLR,8.5304365,-25.643307,-3.006095526295753
600130522324166656,238350,SDSS,0.053844623,AGNX,LLR,50.419384,-174.45563,-3.460090468380177
600134645492770816,238412,SDSS,0.055344686,UNCX,LLR,27.302862,-218.0464,-7.986210383365671
600179450591602688,238118,SDSS,0.04805438,UNCX,LLR,52.645824,-340.63947,-6.470398677775469
600187696928811008,237992,SDSS,0.17645982,AGNX,LLR,24.808836,-52.445477,-2.1139837838421762
601279237147617280,250712,SDSS,0.10152434,AGNX,NER,31.525648,-68.684235,-2.1786779767381783
601280611537152000,250613,SDSS,0.15579653,NOEL,NER,17.478354,-40.432014,-2.313262106946684
601297653967382528,227844,SDSS,0.25244042,NOEL,LLR,11.567826,-26.756561,-2.31301551389172
601305900304590848,250473,SDSS,0.08462366,AGNX,LLR,25.551216,-55.345966,-2.166079532183517
601362800031328256,250704,SDSS,0.1104647,NOEL,LLR,14.889893,-48.166992,-3.2348783164526433
601383690752256000,342485,SDSS,0.05378242,AGNX,LLR,26.094286,-59.847435,-2.29350728354859
602364180279879680,320514,SDSS,0.1358256,NOEL,NER,16.409256,-37.7476,-2.300384612196921
602366654181042176,320598,SDSS,0.051542226,AGNX,LLR,43.550434,-192.56241,-4.421595660791807
602376549785692160,320469,SDSS,0.18689767,SFGX,sAGN,13.290996,-33.394787,-2.5125872432735665
602417506593826816,239329,SDSS,0.19160785,NOEL,NER,15.424062,-63.717094,-4.13101905321698
602517562151954432,363292,SDSS,0.03817169,UNCX,LLR,14.215764,-45.45362,-3.1974095799564486
603544231553820672,239829,SDSS,0.105194345,UNCX,ELR,24.01344,-72.55557,-3.021456734228832
603559624716609536,228795,SDSS,0.22240481,NOEL,NER,12.6981735,-35.406517,-2.788315736904997
603562373495678976,298144,SDSS,0.1182744,AGNX,LLR,13.743439,-71.25453,-5.1846215492352385
603593984454977536,266853,SDSS,0.088674285,UNCX,ELR,27.414364,-107.75036,-3.93043442481467
604650065423788032,252057,SDSS,0.03269265,UNCX,LLR,19.930925,-88.68367,-4.4495511372402445
604656662493554688,251999,SDSS,0.03361265,AGNX,LLR,60.29854,-177.29387,-2.9402680396573446
604694045888899072,320965,SDSS,0.12316288,AGNX,LLR,15.047351,-37.967167,-2.5231794619531374
