CATAID_1,SPECID,BPT,WHAN,WISE_AGN,CIGALE_AGN,BLR_HA,BLR_HB,LOFAR,eFEDS,Score
341744,G15_Y4_226_396,AGNXY,wAGN,False,True,False,False,False,False,3
592666,342362109360760832,AGNXY,sAGN,False,False,True,False,False,False,3
56145,G12_Y3_022_032,UNCXY,sAGN,False,False,True,True,False,False,3
70321,G12_Y1_EN1_192,UNCXY,sAGN,False,True,True,False,False,False,3
618341,G15_Y2_019_117,AGNXY,sAGN,False,False,True,False,False,False,3
3873847,G09_Y4_233_237,AGNXY,sAGN,False,False,True,False,False,False,3
3588342,G09_Y4_226_085,AGNXY,sAGN,False,True,False,False,False,False,3
209546,526937131399014400,AGNXY,sAGN,False,False,True,False,False,False,3
217012,4304504827582873600,SFGX,SFG,False,False,True,True,True,False,3
138669,G12_Y1_HS2_141,AGNXY,wAGN,False,False,True,False,False,False,3
567569,340061107727132672,AGNXY,wAGN,False,False,True,False,False,False,3
3633894,4240324954094567424,AGNXY,sAGN,False,False,True,False,False,False,3
560597,G12_Y1_ND4_047,AGNXY,sAGN,False,False,True,False,False,False,3
185507,372819143939876864,UNCXY,UNC,False,True,True,True,False,False,3
144134,371702315037517824,AGNXY,wAGN,False,False,True,False,False,False,3
62144,340082823081781248,AGNXY,sAGN,False,False,False,False,True,False,3
593449,G15_Y3_032_092,SFGXY,SFG,False,True,True,True,False,False,3
219724,G12_Y1_CX2_382,AGNXY,sAGN,False,False,True,False,False,False,3
186654,G12_Y1_IS1_080,AGNXY,sAGN,True,False,False,False,False,False,3
619381,345782416062834688,AGNXY,sAGN,False,False,True,False,False,False,3
31058,G12_Y1_DS1_219,AGNXY,sAGN,False,False,True,False,False,False,3
105738,341263147589462016,AGNXY,sAGN,False,False,True,False,False,False,3
48183,343456948131227648,AGNXY,sAGN,False,False,False,True,False,False,3
618311,342401416901453824,AGNXY,wAGN,False,False,True,False,False,False,3
184977,371670154322405376,AGNXY,sAGN,False,False,True,False,False,False,3
376892,G09_Y1_EN1_379,AGNXY,sAGN,False,False,True,False,False,False,3
131853,G12_Y4_209_258,AGNXY,sAGN,True,False,False,False,False,False,3
298590,604680851749365760,AGNXY,wAGN,False,False,True,False,False,False,3
296575,G15_Y1_AN2_301,UNCXY,sAGN,False,False,True,False,True,False,3
320308,602404312454293504,AGNXY,sAGN,False,False,True,False,False,False,3
343175,602527182878697472,SFGXY,sAGN,False,False,True,True,False,False,3
561225,323178112302999552,UNCXY,sAGN,False,False,True,True,False,False,3
321011,603502175234058240,UNCXY,sAGN,False,False,True,True,False,False,3
