SPECID,CATAID_x,Z_x,BPT,WHAN,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,CATAID_y,HA_REDCHI_EMB,HA_FITFAIL_x,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID,Z_y,HA_REDCHI_EM,HA_FITFAIL_y,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B,VEL_B_ERR
G12_Y1_ND4_326,98958,0.26274493,UNCXY,sAGN,10.42,10.46,10.53,98958.0,0.74403644,0.0,8287.142290932698,3.3541355,0.03561292,497.73373,7.100321,16.617052,1.333515,119.781494,15.436651,98958.0,0.26274493,1.0720044,0.0,8287.142290932698,3.6080875,0.026854191,2.778969886060262,1.683413812347984
G12_Y1_ND5_009,585551,0.12168248,UNCXY,sAGN,10.1,10.15,10.24,585551.0,0.74121344,0.0,7361.3775825764515,2.752478,0.037368473,605.223,11.206926,21.24486,1.3976079,269.73083,28.571825,585551.0,0.12168248,1.2332722,0.0,7361.3775825764515,3.0167196,0.0318277,2.9371154821358467,1.7552469554653714
G12_Y2_004_130,185957,0.29071784,UNCXY,sAGN,11.1,11.14,11.18,185957.0,1.2117507,0.0,8470.722785477948,5.7258177,0.17934687,515.3361,20.234203,80.72639,2.9851618,1407.0598,62.02663,185957.0,0.29071784,6.724321,0.0,8470.722785477948,5.7417145,0.06235965,3.4559157654810964,2.0238681092396313
G12_Y3_022_032,56145,0.15533425,UNCXY,sAGN,10.39,10.48,10.57,56145.0,0.57421684,0.0,7582.227358291606,3.678437,0.10717408,336.14862,12.541804,31.481281,1.3377031,677.2726,55.5284,56145.0,0.15533425,1.2038697,0.0,7582.227358291606,3.9587543,0.07534357,3.0950762958811833,1.7233836335308197
G12_Y4_206_292,172219,0.30977488,UNCXY,sAGN,10.72,10.85,10.98,172219.0,0.5928775,0.0,8595.790207794636,2.535206,0.097149745,372.25952,19.358435,42.42302,1.4495189,1990.9738,93.02108,172219.0,0.30977488,1.3156201,0.0,8595.790207794636,2.8247192,0.08956363,3.170136477274306,1.7037587779502432
G12_Y5_002_272,178033,0.2472336,AGNXY,sAGN,10.8,10.91,11.03,178033.0,0.39687383,0.0,8185.344470327178,3.9084296,0.8472507,66.01477,18.31753,24.160938,2.7328374,292.6569,66.35016,178033.0,0.2472336,0.41333508,0.0,8185.344470327178,6.137238,0.56439084,2.9468975329264433,2.0003975345846867
G12_Y5_010_337,171994,0.2334539,AGNXY,sAGN,10.62,10.67,10.75,171994.0,0.46406117,0.0,8094.910991289385,4.288724,0.32196215,195.25282,18.655346,24.35535,5.572288,138.00217,63.637005,171994.0,0.2334539,0.47913447,0.0,8094.910991289385,4.9161506,0.21472768,2.955203000164387,2.314642179710693
G12_Y6_052_118,131908,0.11075264,AGNXY,sAGN,10.16,10.24,10.33,131908.0,0.8157986,0.0,7289.647224977564,2.5120265,0.0679872,395.13083,13.783906,17.939161,0.8795774,579.3206,43.396214,131908.0,0.11075264,1.8666986,0.0,7289.647224977564,3.4436467,0.05652451,2.8679163189213255,1.5583882533401328
G15_Y1_AN2_301,296575,0.16447157,UNCXY,sAGN,10.34,10.5,10.62,296575.0,0.67093307,0.0,7642.193751450334,3.1510932,0.08151738,428.7071,13.900786,20.794197,1.3353901,339.22516,45.593113,296575.0,0.16447157,0.9031435,0.0,7642.193751450334,3.7058513,0.051656697,2.9115448129030623,1.7192108110692335
G15_Y1_BS2_133,543892,0.18754035,AGNXY,sAGN,10.65,10.72,10.73,543892.0,0.4869545,0.0,7793.589574453021,4.0117297,0.120285206,129.56476,5.8614974,72.41091,11.077526,263.73,47.83233,543892.0,0.18754035,0.8195885,0.0,7793.589574453021,4.2865825,0.10914492,3.4448871770251897,2.6295259496940613
G15_Y1_CX2_384,492406,0.17607313,AGNXY,sAGN,10.59,10.7,10.82,492406.0,0.6417951,0.0,7718.332492797641,4.8051634,0.18617623,426.9154,22.244314,20.1938,1.9870858,243.09949,74.29229,492406.0,0.17607313,0.6984381,0.0,7718.332492797641,5.1018605,0.12884831,2.894515270292306,1.8875138394464168
G15_Y1_ES2_098,48509,0.22061038,AGNXY,sAGN,10.71,10.79,10.86,48509.0,0.8985473,0.0,8010.621574877025,4.8928585,0.1133433,241.54529,7.7212334,43.813503,5.055569,198.13054,38.9734,48509.0,0.22061038,1.1493541,0.0,8010.621574877025,5.162472,0.09194582,3.2147624644651587,2.276924529113543
G15_Y1_GN1_012,229098,0.11909049,UNCXY,sAGN,10.01,10.09,10.28,229098.0,0.7097209,0.0,7344.366849426535,2.6588252,0.028697005,413.2374,6.039363,19.34645,6.27614,29.938253,14.710534,229098.0,0.11909049,0.7336307,0.0,7344.366849426535,2.7010808,0.024103979,2.89746762656373,2.4085589639855565
G15_Y1_GN1_028,107482,0.30572724,UNCXY,wAGN,10.88,10.98,11.09,107482.0,0.71192724,0.0,8569.226408247325,3.0016024,0.22914137,41.27344,4.191714,97.57927,28.922052,247.6909,93.53486,107482.0,0.30572724,0.8550066,0.0,8569.226408247325,3.3906376,0.21730855,3.5332366502039205,3.005108188029695
G15_Y1_GS1_340,619533,0.23583235,UNCXY,sAGN,10.7,10.79,10.8,619533.0,0.55459386,0.0,8110.520259241369,2.737302,0.093239225,177.13875,8.069873,14.117639,1.4460576,117.23406,20.813562,619533.0,0.23583235,0.69366497,0.0,8110.520259241369,3.173133,0.084124014,2.7175340618960306,1.7279575817837034
G15_Y1_GS2_014,49308,0.20665793,UNCXY,sAGN,10.22,10.29,10.36,49308.0,0.6705529,0.0,7919.0544153184765,2.4892974,0.019127386,416.22385,4.426021,30.635653,8.6208315,27.32927,11.553475,49308.0,0.20665793,0.70312244,0.0,7919.0544153184765,2.5101707,0.017691135,3.0643745174915424,2.5136965323187535
G15_Y1_IS1_201,65255,0.25236177,UNCXY,sAGN,11.06,11.16,11.23,65255.0,0.5042379,0.0,8218.999564751392,5.022865,0.13702281,402.67792,14.791343,50.1995,6.797925,378.525,73.91119,65255.0,0.25236177,0.68602574,0.0,8218.999564751392,5.2382874,0.12182778,3.2627011369603522,2.394378114277825
G15_Y2_003_399,492699,0.27721092,AGNXY,sAGN,10.48,10.56,10.65,492699.0,1.2348375,0.0,8382.07960849223,4.0838633,0.062263366,382.98712,7.6572056,24.601315,1.2182252,215.58278,22.202234,492699.0,0.27721092,1.4859633,0.0,8382.07960849223,4.5357285,0.041999605,2.944427243532695,1.6391965007150375
