SPECID,CATAID_1,Z_x,BPT,WHAN,mass_stellar_percentile50,CATAID_x,HB_REDCHI_EMB,HB_REDCHI_EMABS,HB_FITFAIL_x,HB_MODSEL_EM_LINE_x,HB_MODSEL_EMB_EM,HB_MODSEL_NABS_N,HB_CEN_x,SIG_HB_N,SIG_HB_N_ERR,HB_N_FLUX,HB_N_FLUX_ERR,SIG_HB_B,SIG_HB_B_ERR,HB_B_FLUX,HB_B_FLUX_ERR,HA_REDCHI_EMB,HA_REDCHI_EMABS,HA_FITFAIL_x,HA_MODSEL_EM_LINE_x,HA_MODSEL_EMB_EM,HA_MODSEL_NABS_N,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID_y,Z_y,HB_REDCHI_ABS,HB_REDCHI_EM,HB_FITFAIL_y,HB_MODSEL_EM_LINE_y,HB_MODSEL_ABS_LINE,HB_MODSEL_EM_ABS,HB_CEN_y,SIG_HB,SIG_HB_ERR,HA_REDCHI_ABS,HA_REDCHI_EM,HA_FITFAIL_y,HA_MODSEL_EM_LINE_y,HA_MODSEL_ABS_LINE,HA_MODSEL_EM_ABS,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B_HA,VEL_B_HA_ERR,BLR_HA
346927282528479232,619960,0.08045285,SFGXY,SFG,10.31,619960,2.5577142,3.798077,0.0,201,201,0,5357.782085715991,5.1733103,0.1867118,926.7202,44.132393,20.508274,0.78524184,1531.8867,103.471016,2.9722114,10.113316,0.0,201,201,200,7090.795746522199,6.683551,0.10667897,3974.991,86.44331,24.666128,0.37126037,5054.12,173.27257,619960,0.08045285,43.75316,3.7681708,0.0,201,0,201,5357.782085715991,8.83082,-0.0,220.81297,10.25934,0.0,201,0,201,7090.795746522199,7.258565,0.07022826,3.018226708271308,1.1958043205719413,True
372819143939876864,185507,0.15037559,UNCXY,UNC,11.03,185507,4.3498063,4.50219,0.0,201,201,0,5704.517109575027,3.2732887,0.30261755,403.29822,46.98003,14.628923,0.7061572,1280.7697,129.07085,2.5159378,7.881663,0.0,201,201,0,7549.684740702215,3.9196281,0.09120062,2391.1597,75.069405,21.589445,0.2972905,6019.3184,164.15497,185507,0.15037559,14.933522,4.5082912,0.0,201,0,201,5704.517109575027,6.5033307,0.23740117,121.12077,8.6191225,0.0,201,0,201,7549.684740702215,5.617481,0.063085765,2.9331333642306263,1.0720729175905126,True
372842508561967104,144673,0.08336702,AGNXY,sAGN,10.27,144673,2.0842102,5.926351,0.0,201,201,0,5372.23295492219,2.877856,0.25107667,268.08884,30.858065,25.842083,0.53906775,3014.3804,91.599815,1.2435876,12.501485,0.0,201,201,0,7109.920854684781,3.7129934,0.20304869,906.79663,64.36112,27.935642,0.21718706,11949.01,198.64107,144673,0.08336702,43.109802,6.679159,0.0,201,0,201,5372.23295492219,8.854638,-0.0,210.01791,12.312068,0.0,201,0,201,7109.920854684781,5.277489,0.113326475,3.0711145930990273,0.9617898830279241,True
4240324954094567424,3633894,0.29608425,AGNXY,sAGN,11.59,3633894,1.0934625,1.0400926,0.0,201,0,21,6427.061569354479,1.3189906,0.41334727,18.861364,8.255068,-99999.0,-99999.0,-99999.0,-99999.0,1.1773614,1.3120677,0.0,201,201,10,8505.94147158653,2.190724,0.35360008,50.098877,10.787051,19.092781,1.9222912,388.41223,51.119884,3633894,0.29608425,1.8349162,1.0849198,0.0,201,201,201,6427.061569354479,1.0034333,-0.0,10.870336,1.3351051,0.0,201,0,201,8505.94147158653,6.966957,0.4327709,2.82796750396656,1.8309174906742092,True
4250438536824094720,789312,0.23864505,SFGX,SFG,10.44,789312,6.375734,7.3095117,0.0,0,201,0,6142.230348687742,0.95896375,-0.0,0.0,-0.0,31.157425,2.1329846,76.28401,6.8182964,12.243488,14.375271,0.0,201,201,0,8128.979516869306,8.495917,0.13393846,275.85962,5.7924986,83.00032,7.078191,243.13606,25.047318,789312,0.23864505,7.194789,7.2536654,0.0,0,0,0,6142.230348687742,1.4213268,1.6631982,79.95172,14.421448,0.0,201,0,201,8128.979516869306,8.625237,0.1274409,3.4858644404554178,2.4167069512846067,True
4304504827582873600,217012,0.18190922,SFGX,SFG,10.25,217012,9.211693,9.290804,0.0,200,110,0,5860.887001296484,0.91503865,-0.0,0.0,-0.0,38.773823,7.843512,55.339268,14.136258,33.3741,49.305298,0.0,201,201,0,7756.633613456617,9.672538,0.15888979,889.9303,16.93387,60.539555,1.4167699,1149.8258,34.776917,217012,0.18190922,9.376718,9.190203,0.0,200,1,200,5860.887001296484,9.6600485,-0.0,192.87904,48.868996,0.0,201,0,201,7756.633613456617,10.681552,0.24634878,3.3691866493305547,1.7384467464805493,True
4537463580517728256,319153,0.24945576,AGNXY,wAGN,11.24,319153,1.2194706,1.1879256,0.0,201,0,0,6195.838846694664,6.776738,1.9175953,174.9031,49.491856,-99999.0,-99999.0,-99999.0,-99999.0,1.0246754,1.0895206,0.0,201,3,0,8199.928074231942,3.9876711,2.2240407,25.556822,18.131998,28.134058,3.7755682,246.38914,80.41118,319153,0.24945576,1.3886611,1.1950369,0.0,201,0,201,6195.838846694664,4.6282315,2.6273828,5.2557554,1.076098,0.0,201,0,201,8199.928074231942,5.8489404,0.8487498,3.0122430383935903,2.139992979502804,True
525806833261111296,743886,0.26784265,AGNXY,UNC,11.35,743886,0.8703435,1.6788304,0.0,201,201,0,6287.016299111967,6.1950474,1.0534209,54.052593,12.1581955,102.80258,-0.0,966.3351,60.57032,0.9931279,6.7422285,0.0,201,201,200,8320.597538095168,6.667839,0.56365955,200.82404,21.408865,105.026794,7.3639936,3740.6477,337.32346,743886,0.26784265,7.3643413,1.6656803,0.0,201,0,201,6287.016299111967,10.362405,-0.0,18.442413,6.771612,0.0,201,0,201,8320.597538095168,5.472136,0.41303387,3.5779662955640235,2.4237795893417897,True
526952249683896320,278841,0.05252468,AGNXY,sAGN,10.64,278841,2.7794049,4.833264,0.0,201,201,0,5219.291032005643,1.9931607,0.12115637,344.28043,28.325592,43.561016,1.9205995,2403.0903,135.94038,1.5512943,19.768213,0.0,201,201,0,6907.508752226781,3.7144377,0.08516528,2453.5042,76.42629,31.757809,0.29055008,14049.874,240.86133,278841,0.05252468,47.952183,4.795504,0.0,201,0,201,5219.291032005643,8.602555,-0.0,228.36891,19.464087,0.0,201,0,201,6907.508752226781,4.101347,0.06343246,3.139349791480954,1.1007202584153057,True
528174356874946560,376679,0.10689813,AGNXY,sAGN,11.06,376679,3.4399002,5.9202185,0.0,201,201,0,5488.919734429964,1.857404,0.088702664,558.3067,36.27327,26.776766,0.9088615,2653.2302,124.35715,0.95957345,16.714,0.0,201,201,0,7264.350823386751,2.4411328,0.04162057,2826.2488,70.82053,27.266815,0.29674163,9084.776,174.35022,376679,0.10689813,34.056747,5.912174,0.0,201,0,201,5488.919734429964,9.046964,-0.0,151.41643,16.460772,0.0,201,0,201,7264.350823386751,2.9797564,0.036553264,3.051258304710474,1.088002371095488,True
